Root-label,Root,Model,Error distance (50%) mm,Error distance (90%) mm,Error distance (95%) mm,Error distance (99%) mm,Error distance (avg) mm,Error std mm,Vis Precision,Vis Recall,oks mAP,oks mAR,Median error (% root length),Average Root Length
Canola primary (5-13 DAG),plantwise_split_canola_pr.v000,230317_121725.multi_instance.n=305,1.644971757,5.341401286,6.728335006,12.81552672,2.470347096,2.649575445,1.0,0.966666667,0.08832497,0.193333333,0.32075015406859597,512.8514316
Canola primary (5-13 DAG),plantwise_split_canola_pr.v001,230317_123935.multi_instance.n=302,0.940520322,3.020755596,4.229562654,8.239744842,1.472981998,1.842382218,1.0,0.893939394,0.02970297,0.027272727,0.18339040588533673,512.8514316
Canola primary (5-13 DAG),plantwise_split_canola_pr.v002,230317_130113.multi_instance.n=303,1.262775763,3.010515481,3.461600032,4.120614357,1.503410968,1.022873827,1.0,0.9375,0.165244642,0.265625,0.2462264283947453,512.8514316
Soybean primary (5-8 DAG),plantwise_split_soy_pr.v000,230312_164712.multi_instance.n=1258,2.027890056,9.657130965,15.33971979,23.49020819,3.893812386,5.25766101,1.0,0.831117021,0.163426529,0.216030534,0.2586537732518196,784.0171943
Soybean primary (5-8 DAG),plantwise_split_soy_pr.v001,230312_171330.multi_instance.n=1250,1.43856501,6.249718649,8.632481074,15.08671524,2.654924781,3.150087423,1.0,0.938848921,0.257910683,0.334532374,0.18348641081582462,784.0171943
Soybean primary (5-8 DAG),plantwise_split_soy_pr.v002,230312_174224.multi_instance.n=1277,1.539167348,6.031332228,8.91823369,18.35911959,2.684301231,3.395332371,1.0,0.948948949,0.201711552,0.315178571,0.19631806026578622,784.0171943
Rice primary (3 DAG),plantwise_split_rice_3do_long.v000,230321_121152.multi_instance.n=666,0.423317658,1.414087514,1.822382454,2.783606818,0.641607416,0.616197121,1.0,0.993902439,0.375277901,0.480487805,0.06842416225824875,618.6669212
Rice primary (3 DAG),plantwise_split_rice_3do_long.v001,230321_123741.multi_instance.n=678,0.625961343,1.883007361,2.360555322,5.605484488,0.904074395,0.943650938,1.0,1.0,0.203679343,0.35,0.10117905476275525,618.6669212
Rice primary (3 DAG),plantwise_split_rice_3do_long.v002,230321_125840.multi_instance.n=682,0.569649969,1.834557364,2.34845475,3.920353855,0.835098208,0.830495955,1.0,0.997474747,0.274625387,0.434848485,0.09207700452047378,618.6669212
Arabidopsis primary (7 DAG),plantwise_split_arabidopsis_7dap_pr.v000,230608_203125.multi_instance.n=44,1.339886066,2.43399936,3.196695093,3.436802083,1.456496037,0.860377879,1.0,1.0,0.0,0.0,0.4099633102214071,326.8307267
Arabidopsis primary (7 DAG),plantwise_split_arabidopsis_7dap_pr.v001,230608_213344.multi_instance.n=44,1.609601003,10.78095926,25.98449959,33.14857096,4.813728697,8.096964767,1.0,1.0,0.0,0.0,0.4924876615035841,326.8307267
Arabidopsis primary (7 DAG),plantwise_split_arabidopsis_7dap_pr.v002,230608_234911.multi_instance.n=44,1.662105273,6.970378016,9.325871719,12.8655621,3.116980205,3.162922087,1.0,0.866666667,0.0,0.0,0.5085523291467198,326.8307267
