Root-label,Root,Model,Error distance (50%) mm,Error distance (90%) mm,Error distance (95%) mm,Error distance (99%) mm,Error distance (avg) mm,Error std mm,Vis Precision,Vis Recall,oks mAP,oks mAR
Canola lateral (5-13 DAG),plantwise_split_canola_lr.v000,230314_180620.multi_instance.n=349,0.422269679,6.909531908,13.29569107,37.93331332,2.73492719,6.822893641,0.995804196,0.930718954,0.012376345,0.05922619
Canola lateral (5-13 DAG),plantwise_split_canola_lr.v001,230314_184738.multi_instance.n=351,0.333268686,10.2510988,20.8534189,44.00209689,3.45264324,8.401243845,1,0.924324324,0.006459365,0.03215859
Canola lateral (5-13 DAG),plantwise_split_canola_lr.v002,230314_212133.multi_instance.n=345,0.341868983,3.189301839,8.067691882,13.69559065,1.314601879,3.237639648,0.998721228,0.96538937,0.003610873,0.031111111
Canola primary (5-13 DAG),plantwise_split_canola_pr.v000,230317_121725.multi_instance.n=305,1.644971757,5.341401286,6.728335006,12.81552672,2.470347096,2.649575445,1,0.966666667,0.08832497,0.193333333
Canola primary (5-13 DAG),plantwise_split_canola_pr.v001,230317_123935.multi_instance.n=302,0.940520322,3.020755596,4.229562654,8.239744842,1.472981998,1.842382218,1,0.893939394,0.02970297,0.027272727
Canola primary (5-13 DAG),plantwise_split_canola_pr.v002,230317_130113.multi_instance.n=303,1.262775763,3.010515481,3.461600032,4.120614357,1.503410968,1.022873827,1,0.9375,0.165244642,0.265625
Rice seminal (10 DAG),plantwise_split_rice_10do_main.v000,230312_191834.multi_instance.n=523,2.443545943,14.75616314,22.87186229,37.92271172,5.466297813,8.044030732,0.994160584,0.811358221,0.00825701,0.046464646
Rice seminal (10 DAG),plantwise_split_rice_10do_main.v001,230312_200149.multi_instance.n=524,2.283829186,13.40211191,20.16812658,31.58253,4.853561429,6.827905019,0.995285243,0.809432515,0.017208205,0.072258065
Rice seminal (10 DAG),plantwise_split_rice_10do_main.v002,230312_211833.multi_instance.n=530,2.11524027,14.34441586,21.2885834,35.22961223,4.987060494,7.363427148,0.994098712,0.797332186,0.018736681,0.076626506
Rice seminal (3 DAG),plantwise_split_rice_3do_main.v000,230313_142345.multi_instance.n=783,0.652397744,4.507270785,8.570166749,43.88088622,2.367130541,6.768260649,0.992912828,0.90974026,0.028860098,0.109259259
Rice seminal (3 DAG),plantwise_split_rice_3do_main.v001,230313_151546.multi_instance.n=787,0.703262101,3.28725012,6.339990265,22.82524015,1.836398805,4.873061673,0.996900826,0.889400922,0.02618062,0.103763441
Rice seminal (3 DAG),plantwise_split_rice_3do_main.v002,230313_172259.multi_instance.n=796,0.630102243,7.238952132,17.48679181,44.43835823,3.072754253,8.001549503,0.997814208,0.903066271,0.0663213,0.167403315
Soybean lateral (5-8 DAG),plantwise_split_soy_lr.v000,230310_235104.multi_instance.n=440,0.349562293,8.242865612,17.8902159,36.69394264,2.94470505,7.394207063,0.985327314,0.960924601,0.01336336,0.071755725
Soybean lateral (5-8 DAG),plantwise_split_soy_lr.v001,230311_002621.multi_instance.n=432,0.291206661,2.477842412,4.936091915,16.14281848,1.175886048,3.454860393,0.988970588,0.959001783,0.02164341,0.08856305
Soybean lateral (5-8 DAG),plantwise_split_soy_lr.v002,230311_004948.multi_instance.n=441,0.34103482,6.499150266,16.05195584,35.94013373,2.675950217,7.130412522,0.981676846,0.958265583,0.023996223,0.097164461
Soybean primary (5-8 DAG),plantwise_split_soy_pr.v000,230312_164712.multi_instance.n=1258,2.027890056,9.657130965,15.33971979,23.49020819,3.893812386,5.25766101,1,0.831117021,0.163426529,0.216030534
Soybean primary (5-8 DAG),plantwise_split_soy_pr.v001,230312_171330.multi_instance.n=1250,1.43856501,6.249718649,8.632481074,15.08671524,2.654924781,3.150087423,1,0.938848921,0.257910683,0.334532374
